,Unnamed: 0,Unnamed: 0.1,Partition Ratio,SMILES,Rank,HighThreshold,MediumThreshold,LowThreshold,scaffold
58,58,58,5.606845475271808,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(C3=CC(OC)=CC=C3OC)(=O)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,59,1,0,0,O=S(=O)(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
59,59,59,5.59730757646348,F[B-]1(F)[N+]2=C(/C=C/C3=C(O)C(OCC)=CC=C3)C=C(C)C2=CC4=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N14,60,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccccc3)=[N+]12
60,60,60,5.581140565041243,CC1=CC(/C=C/C2=C(C=CC=C3)C3=CC(OC)=C2OC)=[N+]([B-](F)4F)C1=Cc5n4ccc5,61,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3cccc4ccccc34)=[N+]12
61,61,61,5.54851680487532,COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1Cl,62,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
62,62,62,5.543599026565185,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C(OC)=O)C=C5)C=C4)=CC=C2,63,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
63,63,63,5.538779072308603,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(CN2CCCCC2)c1,64,1,0,0,c1cc(CN2CCCCC2)cc(C2c3ccccc3Oc3ccccc32)c1
64,64,64,5.379930691653741,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=CC=CN=C4)=O)C5=CC=CC=C51,65,1,0,0,O=C(NCCC[N+]1=C(C=CC=CC=C2Cc3ccccc3N2)Cc2ccccc21)c1cccnc1
65,65,65,5.357615927212127,CCCCc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1,66,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
66,66,66,5.305085880606548,Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1[N+](=O)[O-],67,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
67,67,67,5.296725416361234,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CCC(C)C)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,68,1,0,0,C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1
68,68,68,5.287453835509351,CC1=CC(/C=C/C2=CC=C(OC3=CC=C(F)C=C3)C=C2)=[N+]([B-](F)4F)C1=C(C5=CC=C(N)C=C5)c6n4ccc6,69,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(Oc4ccccc4)cc3)=[N+]12
69,69,69,5.186299871270247,F[B-]1(F)[N+]2=C(/C=C/C3=CC(OC)=C(OCCBr)C=C3)C=C(C)C2=CC4=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N14,70,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccccc3)=[N+]12
70,70,70,5.186226845947949,C/[N+](CCNC(C)=O)=C1C=C2OC3=CC(N4C=C(CCC5=CC=CC=C5)N=N4)=CC=C3C(C6=CC=C(OC7=CC=CC=C7)C=C6)=C2C=C\1,71,1,0,0,[N+]=c1ccc2c(-c3ccc(Oc4ccccc4)cc3)c3ccc(-n4cc(CCc5ccccc5)nn4)cc3oc-2c1
71,71,71,5.177983321029575,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CC)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,72,1,0,0,C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1
72,72,72,5.131141311132475,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OC6=CC=CC=C6)C=C5)C=C4)=CC=C2,73,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(Oc4ccccc4)cc3)=[N+]12
73,73,73,5.130276986721461,Cc1cc(/C=C/c2ccccc2-c2ccccc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,74,1,0,0,[BH2-]1n2c(C=Cc3ccccc3-c3ccccc3)ccc2C=C2C=CC=[N+]12
74,74,74,5.094357513326083,Cc1cc(/C=C/c2ccc(F)cc2Cl)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,75,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
75,75,75,5.084504118824592,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(CCN4CCCC4)=O)C5=CC=CC=C51,76,1,0,0,O=C(CCN1CCCC1)NCCC[N+]1=C(C=CC=CC=C2Cc3ccccc3N2)Cc2ccccc21
76,76,76,5.054287706201164,Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+],77,1,0,0,[BH2-]1n2c(C=Cc3cccc4ccccc34)ccc2C=C2C=CC=[N+]12
77,77,77,5.043196436509411,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])ccc1F,78,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
78,78,78,5.029601926830231,F[B-]1(F)[N+]2=C(/C=C/C3=CC(I)=C(OC)C(OC)=C3)C=C(C)C2=CC4=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N14,79,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccccc3)=[N+]12
79,79,79,5.02204672701555,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccc(OC2CCCCO2)cc1,80,1,0,0,c1ccc2c(c1)Nc1ccccc1C2c1ccc(OC2CCCCO2)cc1
80,80,80,5.016177428681683,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=CC6=C5C=CC=C6)C=C4)=CC=C2,81,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3cccc4ccccc34)=[N+]12
81,81,81,5.004363820168655,CC1=CC(/C=C/C2=CC(F)=CC=C2O)=[N+]3[B-](F)(F)N4C(C(C5=CC=C(NC(C)=O)C=C5)=C31)=CC=C4,82,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
82,82,82,4.968482081374328,CC1=CC(/C=C/C2=CC=C(F)C(OC)=C2)=[N+]3[B-](F)(F)N4C(C(C5=CC=C(NC(CCl)=O)C=C5)=C31)=CC=C4,83,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
83,83,83,4.934519246782667,Cc1cc(/C=C/c2cc(Br)ccc2O)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F,84,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
84,84,84,4.880398482334165,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C(C)(C)C)C=C5)C=C4)=CC=C2,85,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
85,85,85,4.879398356736143,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OCCCC)C=C5)C=C4)=CC=C2,86,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
86,86,86,4.876549488952216,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c(OC)c1,87,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
87,87,87,4.871270468599003,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(O)C=C5)C=C4)=CC=C2,88,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
