,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
89,89,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1cc2ccccc2c2ccccc12,1.172914881253174,3,0,0,0
90,90,COc1ccc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)cc1OC,0.9827687294243233,3,0,0,0
91,91,COc1cccc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)c1,3.9312804738182527,1,0,1,1
92,92,COc1ccc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)cc1,2.025821930113411,3,0,0,0
93,93,Cc1cc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)ccc1F,4.946930248904429,0,1,1,1
94,94,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(F)c1,2.366444052729425,3,0,0,0
95,95,CN(C)c1ccc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)cc1,2.2071933706427957,3,0,0,0
96,96,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(C2OCCCO2)cc1,0.9807771061270832,3,0,0,0
97,97,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1cc(F)c(F)c(F)c1,1.001766252666553,3,0,0,0
98,98,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc(F)c(Cl)c1,1.018294207406752,3,0,0,0
99,99,COc1ccc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)cc1F,3.688157205598576,1,0,1,1
100,100,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2c(c1)OCO2,2.003043593519735,3,0,0,0
101,101,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(F)cc1,0.995654629,3,0,0,0
102,102,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(F)cc1,0.9911395586234768,3,0,0,0
103,103,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(Cl)c1,1.0060898075459308,3,0,0,0
104,104,COc1cccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)c1,1.010181880422711,3,0,0,0
105,105,COc1cccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)c1,2.962241847552828,2,0,0,1
106,106,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(CN2CCCC2)cc1,5.3601822789019415,0,1,1,1
107,107,COc1c(C)cc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)cc1C,1.8418825129583305,3,0,0,0
108,108,COC(=O)c1cc(OC)cc(OC)c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+],1.013304943480932,3,0,0,0
109,109,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,1.0080487147825308,3,0,0,0
110,110,Cc1cc(C2c3ccc(N)cc3Oc3cc(N)ccc32)ccc1F,0.9955856917923652,3,0,0,0
111,111,Cc1cc(C)cc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)c1,0.999107818692374,3,0,0,0
112,112,CSc1ccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1,1.931436215533867,3,0,0,0
113,113,Cc1cc(C)cc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)c1,1.030907115036196,3,0,0,0
114,114,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2ccccc2c1,3.0004097138605808,2,0,0,1
115,115,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2ccccc2c1,2.249325619085601,3,0,0,0
116,116,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccccc1,0.9799162821149442,3,0,0,0
117,117,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc2ccccc2c1,0.9988736983763988,3,0,0,0
118,118,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc2ccccc2c1,0.9981135859900252,3,0,0,0
119,119,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccccc1,1.5576442110181252,3,0,0,0
120,120,Cc1cc(C)cc(C2c3ccc(N)cc3Oc3cc(N)ccc32)c1,1.017506343008458,3,0,0,0
121,121,CC(C)(C)c1ccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1,1.0280536858181468,3,0,0,0
122,122,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc(Cl)s1,1.002182295402085,3,0,0,0
123,123,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(CN2CCOCC2)c1,2.4071562003314284,3,0,0,0
124,124,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(C(C)(C)C)cc1,1.249554056736464,3,0,0,0
125,125,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(C(C)(C)C)cc1,1.2039642512570639,3,0,0,0
126,126,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(OC2CCCCO2)cc1,2.197201640044459,3,0,0,0
127,127,CCCc1ccc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)cc1,3.2183791388845666,2,0,0,1
128,128,COc1ccc2cc(C3c4ccc(N)cc4Oc4cc(N(C)C)ccc43)ccc2c1,2.022653169190436,3,0,0,0
129,129,Cc1ccc(C2c3ccc(N)cc3Oc3cc(N)ccc32)cc1,0.9911875002558564,3,0,0,0
130,130,CC(C)(C)c1ccc(C2c3ccc(N)cc3Oc3cc(N)ccc32)cc1,0.9270529160929656,3,0,0,0
131,131,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc(Oc2ccccc2)cc1,2.95906089709333,2,0,0,1
132,132,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1cccs1,4.355475685606612,1,0,1,1
133,133,COc1ccc(C2c3ccc(N)cc3Oc3cc(N(C)C)ccc32)cc1,0.9900473659063376,3,0,0,0
134,134,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(CN2CCC3(CC2)OCCO3)cc1,0.9969625232123182,3,0,0,0
135,135,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(CN2CCC3(CC2)OCCO3)cc1,0.9897643149163522,3,0,0,0
136,136,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(Oc2ccccc2)cc1,1.0028936240696948,3,0,0,0
137,137,Nc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(Oc2ccccc2)cc1,0.9957769608775568,3,0,0,0
138,138,COc1ccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1,2.1015714212354184,3,0,0,0
139,139,NCCCN(CCC(=O)NCCc1ccc(Cl)cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.3329597912060018,3,0,0,0
140,140,CS(=O)(=O)c1ccc(CNC(=O)CCN(CCCN)C(=O)c2ccc(-c3c4ccc(=O)cc-4oc4c5c6c(cc34)CCCN6CCC5)cc2)cc1,2.150631067535643,3,0,0,0
141,141,Cc1ccc(CNC(=O)CCN(CCCN)C(=O)c2ccc(-c3c4ccc(=O)cc-4oc4c5c6c(cc34)CCCN6CCC5)cc2)cc1F,2.429744460896555,3,0,0,0
142,142,NCCCN(CCC(=O)NCC1CC1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.7992493589529261,3,0,0,0
143,143,NCCCN(CCC(=O)NCCc1ccc(Br)cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,3.674010944512432,1,0,1,1
144,144,CC(=O)NCCCCCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,2.6393523324344628,3,0,0,0
145,145,CC(C)CNC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,2.571769502338444,3,0,0,0
146,146,NCCCN(CCC(=O)NCCc1ccccc1Cl)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,2.121526362330096,3,0,0,0
147,147,CCC(CCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1)NC(C)=O,1.2070313118478408,3,0,0,0
148,148,CC(=O)NCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,3.588534569741701,1,0,1,1
149,149,NCCCN(CCC(=O)NCc1cccc(Cl)c1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.8901449517910949,3,0,0,0
150,150,NCCCN(CCC(=O)NCc1cccc(Cl)c1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,0.9744218116472588,3,0,0,0
151,151,CC(C)CCNC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.463294698758604,3,0,0,0
152,152,CC(=O)NCc1ccccc1OCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.694501733007349,3,0,0,0
153,153,NCCCN(CCC(=O)NCc1ccccc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.213913626881362,3,0,0,0
154,154,CC(=O)NCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.187268691255527,3,0,0,0
155,155,CCCCN(CCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1)CCCNC(C)=O,1.011944893984497,3,0,0,0
156,156,NCCCN(CCC(=O)NCc1ccccc1Cl)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.414135449091366,3,0,0,0
157,157,NCCCN(CCC(=O)NCCCc1ccccc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,2.602901749238876,3,0,0,0
158,158,CC(=O)NCCCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.293173855303855,3,0,0,0
159,159,CC(CCc1ccccc1)NC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.6747220445873732,3,0,0,0
160,160,NCCCN(CCC(=O)NCc1ccccc1[N+](=O)[O-])C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.136254541593256,3,0,0,0
161,161,NCCCN(CCC(=O)NCc1ccc([N+](=O)[O-])cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.26319501563045,3,0,0,0
162,162,CC(C)NC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.385211624894464,3,0,0,0
163,163,NCCCN(CCC(=O)NCc1ccc(Cl)cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,2.287345502104784,3,0,0,0
164,164,NCCCN(CCC(=O)NCCN1CCCCC1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.2859916664577042,3,0,0,0
165,165,CC(C)C(C)NC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.6399110355684832,3,0,0,0
166,166,CC(=O)NCCOCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.212804709225109,3,0,0,0
167,167,NCCCN(CCC(=O)NCc1cccc([N+](=O)[O-])c1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.625897900970126,3,0,0,0
168,168,NCCCN(CCC(=O)NCCCCc1ccccc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.4395472629944488,3,0,0,0
169,169,CC(=O)NCCc1ccc(CCCN(CCCN)C(=O)c2ccc(-c3c4ccc(=O)cc-4oc4c5c6c(cc34)CCCN6CCC5)cc2)cc1,1.4634032028087711,3,0,0,0
170,170,CC(=O)NC(C)CCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.4489619114622259,3,0,0,0
171,171,NCCCN(CCC(=O)NCCC(c1ccccc1)c1ccccc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,3.35298112758101,2,0,0,1
172,172,CC(=O)NCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.4352021879235881,3,0,0,0
173,173,CC(Cc1ccccc1)NC(=O)CCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,4.048463596798968,1,0,1,1
174,174,CC(=O)NCCCCCCCCCCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,1.386757734079124,3,0,0,0
