,SMILES
70,Nc1ccc(C2=C3C=CC(NCc4cc(F)cc(F)c4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(C3CCCC3)nn2)cc1
71,CCCCCC(O)c1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(N4CCCC4)C=CC2=C3c2ccc(N)cc2)nn1
72,Cc1ccc(O)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c1
73,COc1ccc(OC)c(CNC2=[N+]3C(=C(c4ccc(N)cc4)c4ccc(-n5cc(CCc6ccccc6)nn5)n4[B-]3(F)F)C=C2)c1
74,CN(Cc1ccccc1)C1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(CC5CCCCC5)nn4)n3[B-]2(F)F)C=C1
75,CCCCCC(O)c1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(N(C)Cc4ccccc4)C=CC2=C3c2ccc(N)cc2)nn1
76,Nc1ccc(C2=C3C=CC(N4CCCC4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(CO)nn2)cc1
77,Nc1ccc(C2=C3C=CC(N4CCCC4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(CCc3ccccc3)nn2)cc1
78,CCCc1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(NCc4cc(F)cc(F)c4)C=CC2=C3c2ccc(N)cc2)nn1
79,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c(O)c1
80,Cc1cc(/C=C/c2ccc(N3CCCC3)c([N+](=O)[O-])c2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
81,CC(=O)Nc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1
82,Cc1cc(/C=C/c2ccc(Oc3ccccc3)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
83,Cc1cc(C)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c(C)c1
84,Cc1cc(/C=C/c2ccc(N(C)CCO)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
85,COc1ccc(Br)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CCNC(=O)CCl
86,Cc1cc(/C=C/c2ccc(OC(F)(F)F)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
